Extraction Day;Calendar day;Flight Number;Sched Airport Depart;Sched Airport Arriva;Load Factor
17/06/2018;17/06/2018;LG-5432;CPH;LUX;90,4 %
17/06/2018;17/06/2018;LG-5435;LUX;CPH;87,7 %
17/06/2018;17/06/2018;LG-5436;CPH;LUX;93,2 %
18/06/2018;18/06/2018;LG-5431;LUX;CPH;86,3 %
18/06/2018;18/06/2018;LG-5432;CPH;LUX;71,2 %
18/06/2018;18/06/2018;LG-5433;LUX;CPH;74,0 %
18/06/2018;18/06/2018;LG-5434;CPH;LUX;92,0 %
18/06/2018;18/06/2018;LG-5435;LUX;CPH;64,4 %
18/06/2018;18/06/2018;LG-5436;CPH;LUX;83,6 %
19/06/2018;19/06/2018;LG-5431;LUX;CPH;49,3 %
19/06/2018;19/06/2018;LG-5432;CPH;LUX;71,2 %
19/06/2018;19/06/2018;LG-5435;LUX;CPH;89,0 %
19/06/2018;19/06/2018;LG-5436;CPH;LUX;71,2 %
20/06/2018;20/06/2018;LG-5431;LUX;CPH;57,7 %
20/06/2018;20/06/2018;LG-5432;CPH;LUX;52,1 %
20/06/2018;20/06/2018;LG-5433;LUX;CPH;43,7 %
20/06/2018;20/06/2018;LG-5434;CPH;LUX;54,9 %
20/06/2018;20/06/2018;LG-5435;LUX;CPH;97,3 %
20/06/2018;20/06/2018;LG-5436;CPH;LUX;100,0 %
21/06/2018;21/06/2018;LG-5431;LUX;CPH;100,0 %
21/06/2018;21/06/2018;LG-5432;CPH;LUX;90,4 %
21/06/2018;21/06/2018;LG-5433;LUX;CPH;69,0 %
21/06/2018;21/06/2018;LG-5434;CPH;LUX;42,3 %
21/06/2018;21/06/2018;LG-5435;LUX;CPH;94,7 %
21/06/2018;21/06/2018;LG-5436;CPH;LUX;100,0 %
22/06/2018;22/06/2018;LG-5431;LUX;CPH;98,6 %
22/06/2018;22/06/2018;LG-5432;CPH;LUX;75,3 %
22/06/2018;22/06/2018;LG-5433;LUX;CPH;90,4 %
22/06/2018;22/06/2018;LG-5434;CPH;LUX;57,7 %
22/06/2018;22/06/2018;LG-5435;LUX;CPH;98,6 %
22/06/2018;22/06/2018;LG-5436;CPH;LUX;47,6 %
23/06/2018;23/06/2018;LG-5433;LUX;CPH;98,6 %
23/06/2018;23/06/2018;LG-5434;CPH;LUX;57,5 %
24/06/2018;24/06/2018;LG-5431;LUX;CPH;86,3 %
24/06/2018;24/06/2018;LG-5432;CPH;LUX;98,6 %
24/06/2018;24/06/2018;LG-5435;LUX;CPH;88,2 %
24/06/2018;24/06/2018;LG-5436;CPH;LUX;98,6 %
25/06/2018;25/06/2018;LG-5431;LUX;CPH;42,5 %
25/06/2018;25/06/2018;LG-5432;CPH;LUX;94,7 %
25/06/2018;25/06/2018;LG-5433;LUX;CPH;58,9 %
25/06/2018;25/06/2018;LG-5434;CPH;LUX;100,0 %
25/06/2018;25/06/2018;LG-5435;LUX;CPH;86,3 %
25/06/2018;25/06/2018;LG-5436;CPH;LUX;101,4 %
26/06/2018;26/06/2018;LG-5431;LUX;CPH;50,7 %
26/06/2018;26/06/2018;LG-5432;CPH;LUX;31,0 %
26/06/2018;26/06/2018;LG-5433;LUX;CPH;47,9 %
26/06/2018;26/06/2018;LG-5434;CPH;LUX;80,3 %
26/06/2018;26/06/2018;LG-5435;LUX;CPH;75,3 %
26/06/2018;26/06/2018;LG-5436;CPH;LUX;81,7 %
27/06/2018;27/06/2018;LG-5431;LUX;CPH;39,4 %
27/06/2018;27/06/2018;LG-5432;CPH;LUX;49,3 %
27/06/2018;27/06/2018;LG-5433;LUX;CPH;32,4 %
27/06/2018;27/06/2018;LG-5434;CPH;LUX;32,4 %
27/06/2018;27/06/2018;LG-5435;LUX;CPH;81,2 %
27/06/2018;27/06/2018;LG-5436;CPH;LUX;72,6 %
28/06/2018;28/06/2018;LG-5431;LUX;CPH;53,5 %
28/06/2018;28/06/2018;LG-5432;CPH;LUX;47,9 %
28/06/2018;28/06/2018;LG-5433;LUX;CPH;53,4 %
28/06/2018;28/06/2018;LG-5434;CPH;LUX;35,2 %
28/06/2018;28/06/2018;LG-5435;LUX;CPH;97,2 %
28/06/2018;28/06/2018;LG-5436;CPH;LUX;82,2 %
29/06/2018;29/06/2018;LG-5431;LUX;CPH;94,5 %
29/06/2018;29/06/2018;LG-5432;CPH;LUX;63,0 %
29/06/2018;29/06/2018;LG-5433;LUX;CPH;80,3 %
29/06/2018;29/06/2018;LG-5434;CPH;LUX;58,9 %
29/06/2018;29/06/2018;LG-5435;LUX;CPH;78,1 %
29/06/2018;29/06/2018;LG-5436;CPH;LUX;83,6 %
30/06/2018;30/06/2018;LG-5433;LUX;CPH;71,2 %
30/06/2018;30/06/2018;LG-5434;CPH;LUX;68,5 %
