Route,DepDate,FltNum,dtime,Direction,month,dday,SpoilageRisk,Intensity_downweighted,Intensity_full,SpillageRisk
LUX-NCE,2019-05-29,8256,14:45,I,May,Wednesday,0.7221989602242082,1.0000000000000142,-52.0,3.801009507142794e-10
LUX-NCE,2019-05-30,8255,12:35,O,May,Thursday,0.2221768007606395,9.110771626633948,-21.0,0.016815914161250167
LUX-NCE,2019-05-30,8256,14:45,I,May,Thursday,0.9170212627826368,-2.0000000000000284,-53.0,3.4008407201469026e-10
LUX-NCE,2019-05-31,8255,12:35,O,May,Friday,0.9999903169354203,-22.9999999999999,-59.0,6.535993968270759e-12
LUX-NCE,2019-05-31,8256,14:45,I,May,Friday,0.9887788934149653,-8.391304347826107,-52.0,1.2767688017945034e-09
LUX-NCE,2019-06-01,8253,06:25,O,June,Saturday,0.9999982548107813,-17.400000000000013,-35.0,1.85215176529141e-10
LUX-NCE,2019-06-02,8257,19:00,O,June,Sunday,0.0058525576270391675,17.499999999999986,-23.0,0.009293873641368133
LUX-NCE,2019-06-02,8258,21:10,I,June,Sunday,0.0,62.587835822900814,33.0,0.9999999999986916
LUX-NCE,2019-06-03,8255,12:35,O,June,Monday,0.9432618953659522,-4.159420289855021,-50.0,1.136342631102849e-08
LUX-NCE,2019-06-03,8256,14:45,I,June,Monday,0.0007545745921829893,21.789855072463766,-18.0,0.049919256937208334
LUX-NCE,2019-06-04,8255,12:35,O,June,Tuesday,0.9964817964886203,-10.0,-66.0,1.5365486660812167e-13
LUX-NCE,2019-06-04,8256,14:45,I,June,Tuesday,0.8952217287872838,-2.4999999999999716,-48.0,6.238904426414393e-08
LUX-NCE,2019-06-05,8255,12:35,O,June,Wednesday,0.9641953414299902,-5.499999999999972,-58.0,1.1538237032482357e-10
LUX-NCE,2019-06-05,8256,14:45,I,June,Wednesday,0.9992771946463721,-13.888059701492509,-68.0,5.728750807065808e-14
LUX-NCE,2019-06-06,8255,12:35,O,June,Thursday,0.4602351842071998,5.499999999999986,-34.0,0.00021440450570531233
LUX-NCE,2019-06-06,8256,14:45,I,June,Thursday,0.9956979025450386,-10.634328358208947,-60.0,4.428091227026698e-11
LUX-NCE,2019-06-07,8255,12:35,O,June,Friday,0.011123634378236923,19.001368344245492,-10.0,0.3273761816801518
LUX-NCE,2019-06-07,8256,14:45,I,June,Friday,0.6416051248827193,2.000000000000014,-41.0,8.771617025171707e-06
LUX-NCE,2019-06-08,8253,06:25,O,June,Saturday,0.09544442755528104,8.599999999999987,-9.0,0.11255629639979836
LUX-NCE,2019-06-09,8257,19:00,O,June,Sunday,0.9999314970130218,-20.500000000000014,-50.0,1.800250237771195e-08
LUX-NCE,2019-06-09,8258,21:10,I,June,Sunday,0.9997557375522614,-19.99999999999997,-49.0,1.7625248294184104e-07
LUX-NCE,2019-06-10,8255,12:35,O,June,Monday,0.00947457591365735,17.84057971014498,-26.0,0.00824751433862303
LUX-NCE,2019-06-10,8256,14:45,I,June,Monday,1.2113916099794358e-08,34.789855072463766,-4.0,0.6572553267653262
LUX-NCE,2019-06-11,8255,12:35,O,June,Tuesday,0.145882685256228,9.041171630680907,-44.0,4.443644710749872e-06
LUX-NCE,2019-06-11,8256,14:45,I,June,Tuesday,0.45889018933005526,5.680983234007357,-38.0,8.243445843836295e-05
LUX-NCE,2019-06-12,8255,12:35,O,June,Wednesday,0.27753811148171303,8.500000000000028,-42.0,1.462255410533686e-05
LUX-NCE,2019-06-12,8256,14:45,I,June,Wednesday,0.0010358812539514458,19.11466117662239,-32.0,0.0011666439613169377
LUX-NCE,2019-06-13,8255,12:35,O,June,Thursday,0.13681502778086807,12.499999999999986,-26.0,0.01028269075308652
LUX-NCE,2019-06-13,8256,14:45,I,June,Thursday,0.4334767600252907,5.365671641791053,-41.0,2.7749915061825448e-05
LUX-NCE,2019-06-14,8255,12:35,O,June,Friday,0.0002665583330283962,28.002993617376248,-1.0,0.7926402581758822
LUX-NCE,2019-06-14,8256,14:45,I,June,Friday,0.014883767375776541,17.000000000000014,-24.0,0.01978604794351646
LUX-NCE,2019-06-15,8253,06:25,O,June,Saturday,0.007678090029835019,13.599999999999987,-4.0,0.45131924656935263
LUX-NCE,2019-06-16,8257,19:00,O,June,Sunday,0.92408703654783,-4.500000000000014,-42.0,2.6079864601347147e-05
LUX-NCE,2019-06-16,8258,21:10,I,June,Sunday,0.03042559515517462,18.00000000000003,-10.0,0.3670351063550573
LUX-NCE,2019-06-17,8255,12:35,O,June,Monday,0.5487734112315509,4.840579710144979,-37.0,0.0002565769916230698
LUX-NCE,2019-06-17,8256,14:45,I,June,Monday,0.3323657777660891,8.789855072463766,-28.0,0.006803804011940695
LUX-NCE,2019-06-18,8255,12:35,O,June,Tuesday,0.9962008574210023,-11.0,-61.0,1.1814870193305183e-09
LUX-NCE,2019-06-18,8256,14:45,I,June,Tuesday,0.7345684735711084,1.5000000000000284,-40.0,7.903931906172446e-05
LUX-NCE,2019-06-19,8255,12:35,O,June,Wednesday,0.9307018391978085,-4.499999999999972,-51.0,4.39794982987074e-07
LUX-NCE,2019-06-19,8256,14:45,I,June,Wednesday,0.9555777808375541,-5.888059701492509,-54.0,8.652397087693942e-08
LUX-NCE,2019-06-20,8255,12:35,O,June,Thursday,0.09600528587857739,14.499999999999986,-22.0,0.040171487177373066
LUX-NCE,2019-06-20,8256,14:45,I,June,Thursday,0.7450314237526047,1.365671641791053,-43.0,2.4980502601135157e-05
LUX-NCE,2019-06-21,8255,12:35,O,June,Friday,0.4680625092646004,6.000000000000028,-21.0,0.05163828177626395
LUX-NCE,2019-06-21,8256,14:45,I,June,Friday,0.07684120273122867,14.000000000000014,-25.0,0.018674205969309576
LUX-NCE,2019-06-22,8253,06:25,O,June,Saturday,0.7373787345545035,1.5999999999999872,-16.0,0.011718624424704283
LUX-NCE,2019-06-23,8257,19:00,O,June,Sunday,0.770112432356075,0.4999999999999858,-35.0,0.0007886091478512824
LUX-NCE,2019-06-23,8258,21:10,I,June,Sunday,8.927295240603123e-08,40.00000000000003,13.0,0.9942973460826202
LUX-NCE,2019-06-24,8255,12:35,O,June,Monday,0.9884945710228218,-10.15942028985502,-43.0,1.6355598825401607e-05
