Route,DepDate,FltNum,dtime,Direction,month,dday,SpoilageRisk,Intensity_downweighted,Intensity_full,SpillageRisk
SCN-TXL,2019-05-10,9416,16:00,I,May,Friday,0.0,11.683322285065401,3.0,0.7965407303253733
SCN-TXL,2019-05-11,9411,06:35,O,May,Saturday,0.9999981418191536,-14.06515832255387,-28.0,1.1340373085033661e-11
SCN-TXL,2019-05-11,9412,08:25,I,May,Saturday,0.9197959440451556,-2.461573021763698,-16.0,0.00010790511458613761
SCN-TXL,2019-05-12,9413,18:55,O,May,Sunday,1.0,-43.400000000000006,-63.0,0.0
SCN-TXL,2019-05-12,9413,19:00,O,May,Sunday,0.4950474752861954,3.422593642470254,-12.0,0.017731763353961982
SCN-TXL,2019-05-12,9414,20:50,I,May,Sunday,0.027192545909354486,5.1599476096385,-14.0,5.6074355817781196e-05
SCN-TXL,2019-05-12,9415,14:10,O,May,Sunday,0.9949755665443428,-6.016758922673631,-20.0,4.965822429925382e-07
SCN-TXL,2019-05-12,9416,16:00,I,May,Sunday,0.0,37.77435981692635,3.0,0.9092108697427419
SCN-TXL,2019-05-13,9411,06:50,O,May,Monday,1.0,-50.40000000000002,-70.0,0.0
SCN-TXL,2019-05-13,9411,06:55,O,May,Monday,0.3956165705828367,3.6307242892506792,-10.0,0.004515672461026354
SCN-TXL,2019-05-13,9412,08:50,I,May,Monday,0.7971930375820708,0.7923786998076068,-27.0,2.8318978928520977e-07
SCN-TXL,2019-05-13,9413,19:00,O,May,Monday,0.9911079864159675,-7.437765090788169,-23.0,4.6279402471816056e-05
SCN-TXL,2019-05-13,9414,20:50,I,May,Monday,0.0,9.807901603789965,-29.0,4.274758325095718e-11
SCN-TXL,2019-05-13,9415,14:10,O,May,Monday,0.3956165705828367,3.733308157491024,-10.0,0.004515672461026354
SCN-TXL,2019-05-13,9416,16:00,I,May,Monday,0.80207216429152,-0.20418898447756817,-26.0,1.5573482503583591e-09
SCN-TXL,2019-05-14,9411,06:55,O,May,Tuesday,0.5364042490343055,2.976118178485507,-11.0,0.0031286530803725787
SCN-TXL,2019-05-14,9412,08:50,I,May,Tuesday,0.8168615551946771,-0.3662500906511781,-34.0,3.078435062420226e-09
SCN-TXL,2019-05-14,9413,19:00,O,May,Tuesday,0.9999642126711533,-15.262114398609192,-31.0,2.6304366285145875e-07
SCN-TXL,2019-05-14,9414,20:50,I,May,Tuesday,0.9977580431592415,-6.932079551036622,-32.0,3.471112286490552e-12
SCN-TXL,2019-05-14,9415,14:10,O,May,Tuesday,0.9999445041569225,-12.040008210895664,-26.0,5.356209142881596e-09
SCN-TXL,2019-05-14,9416,16:00,I,May,Tuesday,0.8036972944501694,-0.8238374053494439,-29.0,1.319232501018064e-10
SCN-TXL,2019-05-15,9411,06:55,O,May,Wednesday,0.0,35.178240294812085,-10.0,0.013280758697997719
SCN-TXL,2019-05-15,9412,08:50,I,May,Wednesday,0.9928900778906187,-6.516033343128051,-32.0,9.580866877634264e-09
SCN-TXL,2019-05-15,9413,19:00,O,May,Wednesday,0.0,10.705373612291929,-27.0,7.119318723880497e-06
SCN-TXL,2019-05-15,9414,20:50,I,May,Wednesday,0.0,20.906094181137476,-4.0,0.14685305745624577
SCN-TXL,2019-05-15,9415,14:10,O,May,Wednesday,0.0,18.511656722980867,-14.0,0.0005358690522890841
SCN-TXL,2019-05-15,9416,16:00,I,May,Wednesday,0.0,15.883196483479523,-10.0,0.007576501208750752
SCN-TXL,2019-05-16,9411,06:55,O,May,Thursday,0.0,12.411811843039686,-16.0,0.00017285387754573112
SCN-TXL,2019-05-16,9412,08:50,I,May,Thursday,0.9709322194846519,-3.08121642653758,-12.0,0.005604623062782199
SCN-TXL,2019-05-16,9413,19:00,O,May,Thursday,0.0,14.753438298567804,-20.0,0.0020447511339797275
SCN-TXL,2019-05-16,9414,20:50,I,May,Thursday,0.0,27.689719718892498,-7.0,0.043474916289342636
SCN-TXL,2019-05-16,9415,14:10,O,May,Thursday,0.0,21.752478468178882,-12.0,0.005038192372357475
SCN-TXL,2019-05-16,9416,16:00,I,May,Thursday,0.0,31.04916283639708,-10.0,0.008940425895354376
SCN-TXL,2019-05-17,9411,06:50,O,May,Friday,1.0,-45.40000000000002,-66.0,0.0
SCN-TXL,2019-05-17,9411,06:55,O,May,Friday,0.11911830614583394,7.84188389110011,-6.0,0.07172622111374316
SCN-TXL,2019-05-17,9412,08:50,I,May,Friday,0.6221066559449535,2.0754726524395153,-19.0,0.0008017970314452283
SCN-TXL,2019-05-17,9413,19:00,O,May,Friday,0.7299361880864574,1.6426847752467992,-14.0,0.028782756467640835
