Route,DepDate,FltNum,dtime,Direction,month,dday,SpoilageRisk,Intensity_downweighted,Intensity_full,SpillageRisk
LUX-CPH,2019-05-09,5435,18:00,O,May,Thursday,1.0,-46.39999999999999,-64.0,0.0
LUX-CPH,2019-05-09,5436,20:30,I,May,Thursday,0.9999991537675307,-15.399999999999991,-33.0,2.4711344082106734e-12
LUX-CPH,2019-05-09,5437,12:40,O,May,Thursday,0.7854448120956761,0.5999999999999872,-17.0,3.2074221590794316e-05
LUX-CPH,2019-05-09,5438,15:10,I,May,Thursday,0.9999794631045547,-12.399999999999991,-30.0,1.1253398213284527e-10
LUX-CPH,2019-05-10,5433,06:10,O,May,Friday,0.9999999999769303,-22.4,-40.0,0.0
LUX-CPH,2019-05-10,5434,08:35,I,May,Friday,0.9999997197295579,-15.399999999999999,-33.0,4.971578704271451e-13
LUX-CPH,2019-05-10,5435,17:55,O,May,Friday,0.9999999996021653,-20.4,-38.0,3.3306690738754696e-16
LUX-CPH,2019-05-10,5435,18:00,O,May,Friday,1.0,-43.4,-61.0,0.0
LUX-CPH,2019-05-10,5436,20:30,I,May,Friday,0.46510006761949974,3.0,-1.0,0.6859741638748408
LUX-CPH,2019-05-10,5437,12:40,O,May,Friday,0.9999999996021653,-20.4,-38.0,3.3306690738754696e-16
LUX-CPH,2019-05-10,5438,15:10,I,May,Friday,0.9986102937624647,-7.399999999999999,-25.0,1.8455209249701454e-08
LUX-CPH,2019-05-11,5433,06:10,O,May,Saturday,1.0,-29.39999999999999,-47.0,0.0
LUX-CPH,2019-05-11,5434,08:35,I,May,Saturday,0.9999958033068225,-11.399999999999991,-29.0,1.953215367223038e-12
LUX-CPH,2019-05-12,5435,18:20,O,May,Sunday,0.3914389683095287,3.6000000000000014,-14.0,0.002699890398615068
LUX-CPH,2019-05-12,5436,20:50,I,May,Sunday,0.0,27.975552897611905,-8.0,0.21436632704525804
LUX-CPH,2019-05-12,5437,13:20,O,May,Sunday,0.8979431214324409,-1.3999999999999986,-19.0,4.7129569968551444e-05
LUX-CPH,2019-05-12,5438,15:50,I,May,Sunday,0.0,23.6,6.0,0.9994213765802461
LUX-CPH,2019-05-12,5438,15:55,I,May,Sunday,1.0,-46.4,-64.0,0.0
LUX-CPH,2019-05-13,5433,06:10,O,May,Monday,0.9999999999370174,-22.0,-27.0,2.42966424757185e-10
LUX-CPH,2019-05-13,5434,08:35,I,May,Monday,0.9977943971236723,-7.399999999999999,-25.0,2.5782251533712497e-07
LUX-CPH,2019-05-13,5435,17:55,O,May,Monday,0.9999527060154854,-11.334936554558873,-29.0,1.611999089767835e-09
LUX-CPH,2019-05-13,5435,18:00,O,May,Monday,1.0,-44.4,-62.0,0.0
LUX-CPH,2019-05-13,5436,20:30,I,May,Monday,0.999999999974181,-24.4,-42.0,2.220446049250313e-16
LUX-CPH,2019-05-13,5437,12:40,O,May,Monday,0.9510964390888748,-2.8091831483611074,-20.0,7.491967443984393e-06
LUX-CPH,2019-05-13,5437,12:45,O,May,Monday,1.0,-43.800000000000026,-62.0,0.0
LUX-CPH,2019-05-13,5438,15:10,I,May,Monday,0.9990019705231299,-8.399999999999999,-26.0,9.079522811372698e-08
LUX-CPH,2019-05-14,5433,06:10,O,May,Tuesday,0.9999999999999487,-31.400000000000013,-49.0,0.0
LUX-CPH,2019-05-14,5434,08:35,I,May,Tuesday,0.9999999068280945,-19.400000000000013,-37.0,3.2761571233663744e-12
LUX-CPH,2019-05-14,5435,17:55,O,May,Tuesday,0.9994137186602529,-10.399999999999991,-28.0,2.4248629904022323e-07
LUX-CPH,2019-05-14,5435,18:00,O,May,Tuesday,1.0,-40.39999999999999,-58.0,0.0
LUX-CPH,2019-05-14,5436,20:30,I,May,Tuesday,0.9999999066229047,-20.39999999999999,-38.0,1.0391576488189003e-11
LUX-CPH,2019-05-14,5437,12:40,O,May,Tuesday,0.9999948908894095,-15.400000000000013,-33.0,3.0412661278234054e-10
LUX-CPH,2019-05-14,5438,15:10,I,May,Tuesday,0.9998719910989707,-12.181129960518419,-30.0,9.713027193658519e-08
LUX-CPH,2019-05-15,5433,06:10,O,May,Wednesday,0.9999994005012792,-14.0,-50.0,0.0
LUX-CPH,2019-05-15,5434,08:35,I,May,Wednesday,0.0,15.399999999999997,-34.0,2.775496499296537e-10
LUX-CPH,2019-05-15,5435,17:55,O,May,Wednesday,0.0,27.803539602593666,-18.0,0.0011513087344352524
LUX-CPH,2019-05-15,5435,18:00,O,May,Wednesday,0.9999420054083301,-8.599999999999998,-56.0,0.0
LUX-CPH,2019-05-15,5436,20:30,I,May,Wednesday,0.0,8.999999999999993,-34.0,2.0802848332834856e-09
LUX-CPH,2019-05-15,5437,12:40,O,May,Wednesday,0.14802881796353434,5.999999999999986,-32.0,2.2616156725163705e-09
LUX-CPH,2019-05-15,5438,15:10,I,May,Wednesday,0.4982233208476444,2.2112676056338003,-36.0,2.8041502453390876e-10
LUX-CPH,2019-05-16,5433,06:10,O,May,Thursday,0.9999999685754647,-21.400000000000013,-39.0,3.0989655286361995e-12
LUX-CPH,2019-05-16,5434,08:35,I,May,Thursday,0.9999999999580098,-27.400000000000013,-45.0,2.7755575615628914e-15
LUX-CPH,2019-05-16,5435,17:55,O,May,Thursday,0.41597681264620523,4.6000000000000085,-28.0,1.2813645921982975e-05
LUX-CPH,2019-05-16,5435,18:00,O,May,Thursday,0.9999999999997397,-32.0,-38.0,2.603472992745992e-13
LUX-CPH,2019-05-16,5436,20:30,I,May,Thursday,0.8371366945183134,-0.3999999999999915,-18.0,0.0013758194325991235
LUX-CPH,2019-05-16,5437,12:40,O,May,Thursday,0.999976435367723,-14.400000000000013,-32.0,5.074986542119575e-09
LUX-CPH,2019-05-16,5438,15:10,I,May,Thursday,0.9691622360310357,-4.3999999999999915,-22.0,0.00010294763807328078
LUX-CPH,2019-05-17,5433,06:10,O,May,Friday,0.99995169068743,-11.0,-17.0,0.00012337453156285871
LUX-CPH,2019-05-17,5434,08:35,I,May,Friday,0.9176946270783755,-2.3999999999999986,-20.0,0.00025487822578651453
LUX-CPH,2019-05-17,5435,17:55,O,May,Friday,0.9902518908586047,-6.399999999999999,-24.0,1.124704495869544e-05
LUX-CPH,2019-05-17,5435,18:00,O,May,Friday,0.999999999999997,-34.4,-52.0,0.0
LUX-CPH,2019-05-17,5436,20:30,I,May,Friday,0.999996188024645,-16.4,-37.0,6.416456255209368e-11
LUX-CPH,2019-05-17,5437,12:40,O,May,Friday,0.994812593297209,-7.399999999999999,-25.0,4.830314914605616e-06
LUX-CPH,2019-05-17,5437,12:45,O,May,Friday,1.0,-42.38997904945378,-60.0,0.0
LUX-CPH,2019-05-17,5438,15:10,I,May,Friday,0.9962675959231005,-7.520120497667449,-24.0,2.6002514539325006e-06
LUX-CPH,2019-05-18,5433,06:10,O,May,Saturday,0.9999846109580525,-13.399999999999991,-31.0,6.305920230431639e-10
LUX-CPH,2019-05-18,5434,08:35,I,May,Saturday,0.9999999962747386,-20.88946396697886,-37.0,1.0547118733938987e-14
LUX-CPH,2019-05-19,5435,18:20,O,May,Sunday,0.0010483659234729909,13.606883836716314,-4.0,0.4764367993119414
LUX-CPH,2019-05-19,5436,20:50,I,May,Sunday,0.2956471345274971,5.0,0.0,0.8090260557985351
LUX-CPH,2019-05-19,5437,13:20,O,May,Sunday,0.0,26.638097252004478,9.0,0.9997617754074195
LUX-CPH,2019-05-19,5437,13:25,O,May,Sunday,1.0,-38.4,-56.0,0.0
LUX-CPH,2019-05-19,5438,15:50,I,May,Sunday,4.9726553147025334e-05,15.600000000000001,-2.0,0.6606618562576585
LUX-CPH,2019-05-19,5438,15:55,I,May,Sunday,1.0,-38.4,-56.0,0.0
LUX-CPH,2019-05-20,5433,06:10,O,May,Monday,0.42220609976471213,4.614087702697141,-13.0,0.023163722971559775
LUX-CPH,2019-05-20,5434,08:35,I,May,Monday,0.9913371176753775,-6.399999999999999,-24.0,2.4681614696819842e-05
LUX-CPH,2019-05-20,5435,17:55,O,May,Monday,0.9999977519858144,-17.4,-35.0,1.5189733915121906e-09
LUX-CPH,2019-05-20,5435,18:00,O,May,Monday,1.0,-39.4,-57.0,0.0
LUX-CPH,2019-05-20,5436,20:30,I,May,Monday,0.9913371176753775,-6.399999999999999,-24.0,2.4681614696819842e-05
LUX-CPH,2019-05-20,5437,12:40,O,May,Monday,0.9986942342831613,-9.399999999999999,-27.0,2.2655475347965748e-06
LUX-CPH,2019-05-20,5438,15:10,I,May,Monday,0.8498189771728046,-0.3999999999999986,-18.0,0.0015346058975402865
LUX-CPH,2019-05-21,5433,06:10,O,May,Tuesday,0.975286311509903,-5.400000000000013,-23.0,0.00015375102403369922
LUX-CPH,2019-05-21,5434,08:35,I,May,Tuesday,0.9998923339613668,-14.400000000000013,-32.0,1.934733212527462e-07
LUX-CPH,2019-05-21,5435,17:55,O,May,Tuesday,0.9983063541583949,-10.399999999999991,-28.0,1.0900128218249705e-05
LUX-CPH,2019-05-21,5436,20:30,I,May,Tuesday,0.9947919719650528,-8.399999999999991,-26.0,4.2228551911938084e-05
LUX-CPH,2019-05-21,5437,12:40,O,May,Tuesday,0.9999484857856022,-15.400000000000013,-33.0,8.366807402460097e-08
LUX-CPH,2019-05-21,5438,15:10,I,May,Tuesday,0.9947919719650528,-8.399999999999991,-26.0,4.2228551911938084e-05
LUX-CPH,2019-05-22,5433,06:10,O,May,Wednesday,0.010089327162841872,10.0,-22.0,0.00034611178216714666
LUX-CPH,2019-05-22,5434,08:35,I,May,Wednesday,0.4940674732113619,1.728422088381702,-42.0,3.261446668290091e-11
LUX-CPH,2019-05-22,5435,17:55,O,May,Wednesday,0.0,18.54929577464788,-23.0,0.0003469057387377461
LUX-CPH,2019-05-22,5435,18:00,O,May,Wednesday,0.998488208632184,-6.599999999999998,-49.0,2.7355895326763857e-13
LUX-CPH,2019-05-22,5436,20:30,I,May,Wednesday,0.0,18.999999999999993,-20.0,0.00182113435236253
LUX-CPH,2019-05-22,5437,12:40,O,May,Wednesday,0.69840496349507,1.416736492109269,-33.0,5.186759799435947e-08
LUX-CPH,2019-05-22,5438,15:10,I,May,Wednesday,0.0,15.2112676056338,-19.0,0.0030387784853750377
LUX-CPH,2019-05-23,5433,06:10,O,May,Thursday,0.9999869497311147,-17.400000000000013,-35.0,3.289506433912237e-08
LUX-CPH,2019-05-23,5434,08:35,I,May,Thursday,0.999972173916566,-16.400000000000013,-34.0,7.565042614565698e-08
LUX-CPH,2019-05-23,5435,17:55,O,May,Thursday,0.9771961895587933,-6.3999999999999915,-23.0,0.00041892005350252504
LUX-CPH,2019-05-23,5435,18:00,O,May,Thursday,0.9999999669948912,-26.39999999999999,-43.0,1.536689664405344e-10
LUX-CPH,2019-05-23,5436,20:30,I,May,Thursday,0.5105650685732238,3.6000000000000085,-13.0,0.04449718988933238
LUX-CPH,2019-05-23,5437,12:40,O,May,Thursday,0.9999999643592874,-24.400000000000013,-39.0,3.175751883688349e-10
LUX-CPH,2019-05-23,5438,15:10,I,May,Thursday,0.9650150223800749,-5.3999999999999915,-22.0,0.0007317820110785966
LUX-CPH,2019-05-24,5433,06:10,O,May,Friday,0.3644382811102186,5.600000000000001,-12.0,0.05492269762030433
LUX-CPH,2019-05-24,5434,08:35,I,May,Friday,0.9935094224615559,-7.399999999999999,-25.0,4.5440857549650104e-05
LUX-CPH,2019-05-24,5435,17:55,O,May,Friday,0.9999998071140822,-21.4,-49.0,5.4989346409684e-13
LUX-CPH,2019-05-24,5435,18:00,O,May,Friday,0.999999999999204,-33.4,-66.0,0.0
LUX-CPH,2019-05-24,5436,20:30,I,May,Friday,0.9813224915508838,-5.399999999999999,-23.0,0.00017503765221704715
LUX-CPH,2019-05-24,5437,12:40,O,May,Friday,0.9888227983625946,-6.399999999999999,-56.0,7.147615832536758e-13
LUX-CPH,2019-05-24,5438,15:10,I,May,Friday,0.9888227983625946,-6.399999999999999,-24.0,9.015464140371687e-05
LUX-CPH,2019-05-25,5433,06:10,O,May,Saturday,0.011924236128083675,10.600000000000009,-7.0,0.25813498436695614
LUX-CPH,2019-05-25,5434,08:35,I,May,Saturday,0.999997375097662,-17.365792613636117,-35.0,9.781858656410236e-10
LUX-CPH,2019-05-26,5435,18:20,O,May,Sunday,0.9983170032194215,-10.399999999999999,-28.0,1.3520077728812474e-05
LUX-CPH,2019-05-26,5436,20:50,I,May,Sunday,0.3765707299983841,5.0,-2.0,0.7146446061689962
LUX-CPH,2019-05-26,5437,13:20,O,May,Sunday,0.9946388305770483,-8.399999999999999,-26.0,5.391374997187892e-05
LUX-CPH,2019-05-26,5438,15:50,I,May,Sunday,0.9983170032194215,-10.399999999999999,-25.0,5.9246258594658485e-05
LUX-CPH,2019-05-26,5438,15:55,I,May,Sunday,0.9999999999996172,-35.4,-53.0,1.2212453270876722e-15
LUX-CPH,2019-05-27,5433,06:10,O,May,Monday,0.37909654294935313,5.608228377149722,-12.0,0.07244764366602652
LUX-CPH,2019-05-27,5434,08:35,I,May,Monday,0.965162982677377,-4.399999999999999,-66.0,4.463096558993129e-14
LUX-CPH,2019-05-27,5435,17:55,O,May,Monday,0.9999995289626596,-21.4,-39.0,2.2184710735118074e-09
LUX-CPH,2019-05-27,5435,18:00,O,May,Monday,0.9999999997363775,-29.4,-47.0,1.0657030813376878e-12
LUX-CPH,2019-05-27,5436,20:30,I,May,Monday,0.9999999980791406,-27.4,-68.0,0.0
LUX-CPH,2019-05-27,5437,12:40,O,May,Monday,0.9468148798604642,-3.3999999999999986,-21.0,0.0012070209916943409
LUX-CPH,2019-05-27,5438,15:10,I,May,Monday,0.9862935064632395,-6.3846654619473995,-24.0,0.00020604152851122493
LUX-CPH,2019-05-28,5433,06:10,O,May,Tuesday,0.8859308800733038,-1.4000000000000128,-19.0,0.004670438676254274
