;;;;;;;;;;;;;;;;; 2 317 792 ;;;; 18 771 ;;;
key;Departure Date;Flight Number;Day_of_week;Sum_ASK;Sum_RPK;Sum_Revenues;Load factor;Yield;RASK;Month;SEASON;leg;Percentile_RASK_target;type;uplift_population;New Revenue;Rev Upside;;New RPK;RPK Upside;PAX Upside;Stage Length;;
LG-3591_Fri_H;13/10/2017;LG-3591;Fri;68600;49000;6153;0,714285714;12,55714286;8,969387755;10;H;BCN;15,10427536;NONE;NO;;;;;;;980;;
LG-3591_Mon_H;16/10/2017;LG-3591;Mon;68600;47040;4716;0,685714286;10,0255102;6,874635569;10;H;BCN;9,987963911;NONE;NO;;;;;;;980;;
LG-3591_Tue_H;17/10/2017;LG-3591;Tue;68600;49000;4558;0,714285714;9,302040816;6,644314869;10;H;BCN;8,996264353;NONE;NO;;;;;;;980;;
LG-3591_Wed_H;18/10/2017;LG-3591;Wed;68600;40180;3291;0,585714286;8,190642111;4,797376093;10;H;BCN;9,369169096;NONE;NO;;;;;;;980;;
LG-3591_Thu_H;19/10/2017;LG-3591;Thu;68600;46060;4976;0,671428571;10,80330004;7,253644315;10;H;BCN;11,69056812;NONE;NO;;;;;;;980;;
LG-3591_Fri_H;20/10/2017;LG-3591;Fri;68600;63700;8723;0,928571429;13,69387755;12,71574344;10;H;BCN;15,10427536;NONE;NO;;;;;;;980;;
LG-3591_Sat_H;21/10/2017;LG-3591;Sat;74480;69580;8754;0,934210526;12,58120149;11,75349087;10;H;BCN;12,55102041;NONE;NO;;;;;;;980;;
LG-3591_Mon_H;23/10/2017;LG-3591;Mon;68600;60760;6136;0,885714286;10,09874918;8,944606414;10;H;BCN;9,987963911;NONE;NO;;;;;;;980;;
LG-3591_Tue_H;24/10/2017;LG-3591;Tue;68600;46060;4130;0,671428571;8,96656535;6,020408163;10;H;BCN;8,996264353;NONE;NO;;;;;;;980;;
LG-3591_Wed_H;25/10/2017;LG-3591;Wed;68600;49980;5128;0,728571429;10,26010404;7,475218659;10;H;BCN;9,369169096;NONE;NO;;;;;;;980;;
LG-3591_Thu_H;26/10/2017;LG-3591;Thu;68600;67620;7478;0,985714286;11,05885833;10,90087464;10;H;BCN;11,69056812;NONE;NO;;;;;;;980;;
LG-3591_Fri_H;27/10/2017;LG-3591;Fri;74480;73500;12606;0,986842105;17,15102041;16,92534909;10;H;BCN;15,10427536;NONE;NO;;;;;;;980;;
LG-3591_Sat_H;28/10/2017;LG-3591;Sat;68600;66640;12611;0,971428571;18,92406963;18,38338192;10;H;BCN;12,55102041;NONE;NO;;;;;;;980;;
LG-3591_Mon_L;30/10/2017;LG-3591;Mon;72520;62720;5932;0,864864865;9,457908163;8,179812466;10;L;BCN;7,746355685;NONE;NO;;;;;;;980;;
LG-3591_Tue_L;31/10/2017;LG-3591;Tue;68600;48020;3621;0,7;7,54060808;5,278425656;10;L;BCN;5,603498542;NONE;NO;;;;;;;980;;
LG-3591_Wed_L;01/11/2017;LG-3591;Wed;68600;43120;3181;0,628571429;7,377087199;4,637026239;11;L;BCN;6,320699708;NONE;NO;;;;;;;980;;
LG-3591_Mon_L;06/11/2017;LG-3591;Mon;68600;45080;3674;0,657142857;8,149955634;5,355685131;11;L;BCN;7,746355685;NONE;NO;;;;;;;980;;
LG-3591_Wed_L;08/11/2017;LG-3591;Wed;68600;38220;2940;0,557142857;7,692307692;4,285714286;11;L;BCN;6,320699708;NONE;NO;;;;;;;980;;
